"","X","Y","date"
"6384",356701.153307474,561923.668067659,2016-07-28
"6385",355899.479668599,568943.5406274,2016-07-28
"6386",351937.415004381,579169.88216207,2016-07-28
"6387",348939.712107188,578289.609461078,2016-07-28
"6388",353471.200452115,594335.298319593,2016-07-28
"6389",353024.600672651,578405.47606808,2016-07-28
"6390",344377.110159645,591893.190304602,2016-07-28
"6391",352010.606734629,584815.488558475,2016-07-28
"6392",354459.667800109,570532.219806002,2016-07-28
"6393",350870.02789515,589224.950626162,2016-07-28
"6394",359547.965983334,561195.579165855,2016-07-28
"6395",358910.909597106,555493.59720765,2016-07-28
"6396",350539.273490172,585113.890786299,2016-07-28
"6397",357532.677338996,561134.015313154,2016-07-29
"6398",347253.879761355,581433.39309217,2016-07-29
"6399",355809.326155421,568555.298714701,2016-07-29
"6400",353517.505352939,591919.707183681,2016-07-29
"6401",350148.23310472,565067.098158459,2016-07-29
"6402",354676.943735391,570082.919289751,2016-07-29
"6403",353200.195349471,577302.366852997,2016-07-29
"6404",345382.993178641,585458.316196841,2016-07-29
"6405",355147.898133901,581493.396306416,2016-07-29
"6406",358882.878884853,556290.979615099,2016-07-29
"6407",361400.549971656,568332.786709132,2016-07-29
"6408",350619.745419863,576543.486391928,2016-07-29
"6409",359835.747424551,556925.536782125,2016-07-29
"6410",349971.44082336,570415.438550307,2016-07-29
"6411",363233.054432393,567117.818917945,2016-07-29
"6412",359749.13121662,567339.99877151,2016-07-29
"6413",357837.124031894,557694.538452539,2016-07-29
"6414",351699.694714043,559639.175218068,2016-07-29
"6415",357652.428636278,565988.784235802,2016-07-29
"6416",358447.668879425,556568.990171962,2016-07-29
"6417",353947.299692016,566469.1510808,2016-07-29
"6418",362721.849290302,564784.284741617,2016-07-29
"6419",356379.549433644,559036.348465626,2016-07-29
"6420",355606.259505017,587320.271629302,2016-07-29
"6421",357034.93993234,564352.383001038,2016-07-29
"6422",350820.353293813,587444.04363411,2016-07-29
"6423",348525.788121442,571221.299014386,2016-07-29
"6424",357124.831224265,564741.302352427,2016-07-29
"6426",360063.131825246,573532.646875743,2016-07-29
"6427",355436.844482995,582046.356764494,2016-07-29
"6428",347752.468676449,580225.790356106,2016-07-29
"6429",361095.158441785,567295.835992862,2016-07-29
"6430",346600.320103959,579267.477782624,2016-07-29
"6431",349359.729574432,570444.729225159,2016-07-29
"6432",354680.318713074,582031.395746728,2016-07-29
"6433",346799.682686929,582185.918246392,2016-07-29
"6434",359394.624578542,574301.695120441,2016-07-29
"6435",355346.571588552,584839.561411075,2016-07-29
"6436",361335.959459422,563395.277245228,2016-07-30
"6437",356609.084136169,565147.842747974,2016-07-30
"6438",353732.363204269,566876.059917153,2016-07-30
"6439",355844.32414321,586652.787199592,2016-07-30
"6440",361465.479608499,564859.243627848,2016-07-30
"6441",350536.888894567,568408.666246288,2016-07-30
"6442",362884.026314263,566309.775192681,2016-07-30
"6443",355958.309644041,563131.964330883,2016-07-30
"6444",354925.957076617,587235.004418963,2016-07-30
"6445",353545.575399624,566269.532910073,2016-07-30
"6446",353772.346007953,569110.26769633,2016-07-30
"6447",350300.909599146,587832.333981556,2016-07-30
"6448",355688.258647178,569348.31156072,2016-07-30
"6449",355467.326384881,573626.512699466,2016-07-30
"6450",355409.131225507,559529.495836148,2016-07-30
"6451",350052.562384532,585861.207035032,2016-07-30
"6452",350853.520973879,583397.238498423,2016-07-30
"6453",353107.829978732,567468.30093198,2016-07-30
"6454",352914.921141637,567088.555956159,2016-07-30
"6455",354911.967414273,581452.584632094,2016-07-30
"6456",351920.639485391,580377.811060163,2016-07-30
"6457",365222.480530764,564367.334441825,2016-07-30
"6458",356683.486106586,569819.206498517,2016-07-30
"6459",352914.921141637,567088.555956159,2016-07-30
"6460",355766.297627657,559326.22656386,2016-07-30
"6461",358439.113910407,556770.739441936,2016-07-30
"6462",353369.955096429,594349.864144715,2016-07-30
"6463",351466.840230739,568022.104326107,2016-07-30
"6464",352010.606734629,584815.488558475,2016-07-30
"6465",358093.495894437,562763.767993504,2016-07-30
"6466",341383.662042396,586763.684181888,2016-07-30
"6467",359177.363626716,566210.724122992,2016-07-30
"6468",355347.185236167,563301.376212568,2016-07-31
"6469",356059.875616856,574187.629077259,2016-07-31
"6470",362302.164109618,563863.804403796,2016-07-31
"6471",350910.809783103,587814.019238159,2016-07-31
"6472",359276.407052053,572303.124543411,2016-07-31
"6473",356272.60100241,587418.156504032,2016-07-31
"6474",355406.347842804,568528.393586057,2016-07-31
"6475",350078.109791265,580910.990549339,2016-07-31
"6476",358882.266247062,556304.747600453,2016-07-31
"6477",354002.715611674,592584.85158268,2016-07-31
"6478",353461.391910153,592900.54350478,2016-07-31
"6479",358853.008352595,580348.537770218,2016-07-31
"6480",354004.258579381,587413.881707732,2016-07-31
"6481",347235.225170633,587774.188803281,2016-07-31
"6482",359848.189794472,557719.591428183,2016-07-31
"6483",355120.149119598,571595.379505742,2016-07-31
"6484",354130.119329706,581987.535612143,2016-07-31
"6485",352786.248485191,591634.425049894,2016-07-31
"6486",350246.39414223,575178.857763122,2016-07-31
"6487",354471.563219177,582572.4014718,2016-07-31
"6488",357994.754890723,558175.534499817,2016-07-31
"6489",347438.84728089,579638.667939687,2016-07-31
"6490",353826.838724411,579211.344605462,2016-07-31
"6491",354905.538448196,561062.972087515,2016-07-31
"6492",351817.034666037,571101.804067361,2016-07-31
"6493",353003.281833143,584154.029822118,2016-07-31
"6494",344911.488853419,584650.255897785,2016-07-31
"6495",359554.097875397,560968.484367657,2016-07-31
"6496",347834.838418961,567519.490657882,2016-07-31
"6497",362377.107421224,564886.015250568,2016-07-31
"6498",359553.176420461,560999.244125456,2016-07-31
"6499",358979.190327825,568448.907901367,2016-07-31
"6500",365213.638316637,564716.921304164,2016-07-31
"6501",353402.893501777,564072.224552747,2016-07-31
"6502",351807.536919301,584819.670964725,2016-07-31
"6505",356100.049674131,568998.427917914,2016-08-01
"6506",352970.383684896,579377.757150992,2016-08-01
"6507",363370.142554898,565910.194236154,2016-08-01
"6508",359008.488017967,558604.772016359,2016-08-01
"6509",354709.306581505,582707.40576448,2016-08-01
"6510",357986.498064959,566418.564837257,2016-08-01
"6511",357599.683705215,564441.655255827,2016-08-01
"6512",357331.799853947,561080.644854297,2016-08-01
"6513",340874.661279152,589814.494040547,2016-08-01
"6514",349297.260429429,583910.224353054,2016-08-01
"6515",356216.848609329,585923.725303599,2016-08-01
"6516",348156.087172436,583435.559426856,2016-08-01
"6517",353732.417546826,570517.603871889,2016-08-01
"6519",353969.198258827,565682.807929515,2016-08-01
"6520",356346.933957551,563699.81976307,2016-08-01
"6521",345832.851899753,584294.587855583,2016-08-01
"6522",360518.801616823,561588.142147815,2016-08-01
"6523",358967.310508115,568861.00882717,2016-08-01
"6524",356962.974436635,563361.14545411,2016-08-01
"6525",353383.98911777,583008.24030613,2016-08-01
"6526",356219.551864578,567966.93333864,2016-08-01
"6527",349901.946409277,581050.818401588,2016-08-01
"6528",350574.02521616,581367.792627255,2016-08-01
"6529",356946.168547359,584966.268453517,2016-08-02
"6530",356678.265716906,570005.770197916,2016-08-02
"6531",360294.425629824,568165.976897782,2016-08-02
"6532",357222.314098159,578686.762931865,2016-08-02
"6533",345078.503078199,582442.606349472,2016-08-02
"6534",348460.512684508,567391.528614919,2016-08-02
"6535",359905.216803814,568558.020855955,2016-08-02
"6536",350941.289681741,578003.737537031,2016-08-02
"6537",357491.806193445,562576.306899861,2016-08-02
"6538",358557.966861607,557103.927081256,2016-08-02
"6539",352734.199766129,569922.252499782,2016-08-02
"6540",355198.509535323,580670.159732841,2016-08-02
"6541",351179.089294037,589045.450474853,2016-08-02
"6542",359759.227053927,568469.604763061,2016-08-02
"6543",353401.942486842,589261.868642413,2016-08-02
"6544",350962.631698788,585998.076533955,2016-08-02
"6545",360269.713055686,567862.75544398,2016-08-02
"6546",351916.970983207,570054.553030366,2016-08-02
"6547",346791.80612131,581680.25717586,2016-08-02
"6548",360197.834260168,570887.28787461,2016-08-02
"6549",358456.170153042,578239.367005547,2016-08-02
"6550",354872.60732153,569572.368554403,2016-08-02
"6551",354741.270456725,565175.294188687,2016-08-02
"6552",361072.311256019,564488.330627214,2016-08-02
"6553",349976.325064629,580893.614113849,2016-08-02
"6554",359900.60071746,559388.684375002,2016-08-02
"6555",345830.462963997,567352.860472848,2016-08-02
"6556",356595.059547618,562113.541372592,2016-08-02
"6558",353977.124798227,580432.090775387,2016-08-02
"6559",348559.640502678,569969.853038101,2016-08-02
"6560",360730.327728531,563011.238998088,2016-08-02
"6561",360476.061911168,565542.919691661,2016-08-02
"6562",359754.938579767,560994.926129058,2016-08-02
"6563",348584.022956587,578880.976473681,2016-08-02
"6564",354890.341578674,576611.410007216,2016-08-03
"6565",347949.739519888,569985.059969798,2016-08-03
"6566",351940.429642266,567226.360867556,2016-08-03
"6567",346827.466530155,567385.089363359,2016-08-03
"6568",353491.59664075,594124.070917491,2016-08-03
"6569",353443.712593984,566268.882119249,2016-08-03
"6570",350722.171761326,583750.186725407,2016-08-03
"6571",355472.518019019,566128.160182157,2016-08-03
"6572",363231.536494061,567167.234270878,2016-08-03
"6573",357674.36526938,556481.538003793,2016-08-03
"6574",352483.934512683,592714.297338191,2016-08-03
"6575",359857.628355727,568482.97965789,2016-08-03
"6576",356594.793966433,562126.09053109,2016-08-03
"6577",356923.363828291,569871.097260165,2016-08-03
"6578",351308.331277251,580537.541376266,2016-08-03
"6579",351079.709004225,574499.784565557,2016-08-03
"6580",354033.833251051,581478.52085052,2016-08-03
"6581",360113.097527411,567553.647773482,2016-08-03
"6582",352186.700479382,563989.612605101,2016-08-03
"6583",358052.964345353,566477.084790352,2016-08-03
"6584",349370.383891983,584776.117860449,2016-08-03
"6585",359544.002260995,569964.990655723,2016-08-03
"6586",348889.446879859,584010.820272819,2016-08-03
"6587",354807.07972358,566290.5288904,2016-08-03
"6588",360686.097963071,567488.733314358,2016-08-03
"6589",355893.13565717,561867.667230405,2016-08-03
"6590",347947.88831204,578664.293410042,2016-08-03
"6591",356998.590298428,569380.636621946,2016-08-03
"6592",346993.844028446,581656.485516101,2016-08-03
"6593",353619.879867942,588754.111800647,2016-08-03
"6594",350256.456281434,582355.109787785,2016-08-03
"6595",360246.607159109,563912.186138825,2016-08-03
"6596",354191.448550055,594200.253614075,2016-08-03
"6597",355066.797838578,587506.23413102,2016-08-03
"6598",366549.878120412,557069.100160236,2016-08-03
"6599",351808.482566263,564791.583089366,2016-08-03
"6600",354085.311896653,583504.826900406,2016-08-03
"6601",351408.92528759,577844.927134275,2016-08-04
"6602",351279.964154497,567915.797591133,2016-08-04
"6603",361352.98437638,570357.510810186,2016-08-04
"6604",355007.399297439,564701.3868771,2016-08-04
"6605",361990.988540738,566183.572921893,2016-08-04
"6606",353633.972575198,568995.710673021,2016-08-04
"6607",361384.71448847,569131.062264683,2016-08-04
"6608",352330.910941728,566040.618702234,2016-08-04
"6609",353216.972498745,581578.777311203,2016-08-04
"6610",356861.776151435,585427.785408105,2016-08-04
"6611",359089.905371731,556077.978031768,2016-08-04
"6612",349581.29444564,591475.681031739,2016-08-04
"6613",363295.186986813,564709.580937226,2016-08-04
"6614",352837.17578717,577976.667457979,2016-08-04
"6615",364002.935420054,564758.084837878,2016-08-04
"6616",360685.830633253,567490.84147394,2016-08-04
"6617",356095.510594309,569163.670645692,2016-08-04
"6618",355792.878177123,569192.62425502,2016-08-04
"6619",354940.031060759,567137.039899024,2016-08-04
"6620",347120.3570249,585742.641355332,2016-08-04
"6621",355042.390446972,570751.948255161,2016-08-04
"6622",356772.200032476,562932.886392401,2016-08-04
"6623",358746.932819984,567080.887692379,2016-08-04
"6624",358697.017611907,569493.46575343,2016-08-04
"6625",353635.494563713,566687.397016414,2016-08-04
"6626",357037.37509124,586303.149027152,2016-08-04
"6627",351387.21727023,585435.979404782,2016-08-04
"6628",360080.754537345,573166.244251347,2016-08-04
"6629",360682.119694215,564046.044501108,2016-08-04
"6630",353850.320513983,566295.146201708,2016-08-04
"6631",356769.431942606,568866.759498299,2016-08-04
"6632",359448.589673778,569355.059572787,2016-08-04
"6633",349682.175141347,587478.535347619,2016-08-04
"6634",359719.598285298,565828.246855723,2016-08-04
"6635",355614.232780746,580783.804483081,2016-08-04
"6636",350846.493788201,582975.990784607,2016-08-05
"6637",360312.130736973,568166.348412988,2016-08-05
"6638",359501.005919247,569069.699495519,2016-08-05
"6639",353935.688767138,566884.032839206,2016-08-05
"6640",358747.253041849,560981.260735177,2016-08-05
"6641",355226.214180495,582329.740818176,2016-08-05
"6642",359825.690603478,562089.150087331,2016-08-05
"6643",349472.17141188,584785.267032474,2016-08-05
"6644",351741.70915377,569064.286556624,2016-08-05
"6645",344907.226079558,589627.370180231,2016-08-05
"6646",355046.723314015,557989.688270733,2016-08-05
"6647",352496.149750071,571133.53263638,2016-08-05
"6648",350125.03400914,583344.194747675,2016-08-05
"6649",354360.552177144,580442.783003178,2016-08-05
"6650",365430.299275499,564145.968486135,2016-08-05
"6651",349680.053752765,577324.612223411,2016-08-05
"6652",356588.945400535,586164.161162807,2016-08-05
"6653",357062.643315339,581632.672220494,2016-08-05
"6654",354107.319603247,582912.625269939,2016-08-05
"6655",358483.90954926,558996.671246313,2016-08-05
"6656",351668.001905612,583784.652096512,2016-08-05
"6657",353411.458205544,584884.965687273,2016-08-05
"6658",356854.125215534,558625.46267347,2016-08-05
"6660",350511.889307519,585151.017567837,2016-08-05
"6661",359887.863037495,572659.116512377,2016-08-05
"6662",360579.717188606,570944.610778198,2016-08-05
"6663",363087.624778506,564901.907906809,2016-08-05
"6664",352227.889507032,587876.563854977,2016-08-05
"6665",363922.501153102,563743.023469548,2016-08-05
"6666",354311.507638911,583258.517112365,2016-08-05
"6667",357514.642959463,569005.118907488,2016-08-05
"6668",348520.57926673,571400.868055113,2016-08-05
"6669",362107.684028579,563756.815214518,2016-08-05
"6670",355709.282691876,587134.691013233,2016-08-05
"6671",357852.944785579,563003.294292916,2016-08-05
"6672",360929.028492426,567871.565560407,2016-08-05
"6673",358723.519935155,579374.102609218,2016-08-05
"6674",359068.846671812,556683.595445684,2016-08-05
"6675",356150.345341095,590107.712403167,2016-08-05
"6676",360528.50084167,569780.214730649,2016-08-05
"6677",346588.775072109,568123.377629688,2016-08-05
"6678",360068.560551235,565124.400629163,2016-08-06
"6679",359548.8937528,561154.045298482,2016-08-06
"6680",354956.423533871,570162.482451946,2016-08-06
"6681",356126.923852327,564344.093490682,2016-08-06
"6682",363860.021185241,566129.371613708,2016-08-06
